model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
noproj,scissors/scissors,82.792,82.792,0.9486,0.1376,0.0690,1.096,close,0.0890
noproj,scissors/scissors,84.741,84.741,0.9476,0.1905,0.0682,1.336,open,0.0470
noproj,scissors/scissors,85.200,94.800,0.9527,0.1372,0.1051,1.168,close,0.0687
noproj,scissors/scissors,66.534,113.466,0.9505,0.1458,0.1061,1.141,close,0.1948
noproj,scissors/scissors,71.893,108.107,0.9512,0.1735,0.1273,1.140,close,0.1370
noproj,scissors/scissors,80.746,80.746,0.9533,0.1406,0.0879,1.141,close,0.0424
noproj,scissors/scissors,41.255,138.745,0.9503,0.2025,0.0025,1.155,close,0.1357
noproj,scissors/scissors,75.670,104.330,0.9522,0.1403,0.1385,1.202,close,0.1404
noproj,scissors/scissors,82.781,82.781,0.9481,0.1040,0.0835,1.163,close,0.0961
noproj,scissors/scissors,60.283,60.283,0.9512,0.2618,0.0851,1.331,open,0.1369
noproj,scissors/scissors,61.945,118.055,0.9514,0.2146,0.0528,1.213,close,0.1258
noproj,scissors/scissors,74.392,105.608,0.9498,0.1407,0.0901,1.125,close,0.1580
noproj,scissors/scissors,89.665,90.335,0.9489,0.0991,0.0709,1.255,close,0.1048
noproj,scissors/scissors,79.524,100.476,0.9493,0.1157,0.1162,1.194,close,0.1455
noproj,scissors/scissors,75.325,104.675,0.9475,0.1396,0.0689,1.167,close,0.1482
noproj,scissors/scissors,84.269,95.731,0.9502,0.1460,0.0682,1.166,close,0.0869
noproj,scissors/scissors,69.985,110.015,0.9513,0.1276,0.0907,1.151,close,0.1867
noproj,scissors/scissors,58.261,58.261,0.9491,0.1913,0.0484,1.224,open,0.0970
noproj,scissors/scissors,89.067,90.933,0.9501,0.1651,0.0551,1.133,close,0.1190
noproj,scissors/scissors,86.168,86.168,0.9512,0.1532,0.0772,1.138,close,0.0824
noproj,scissors/scissors,83.872,83.872,0.9493,0.1609,0.0638,1.367,open,0.0452
noproj,scissors/scissors,87.646,87.646,0.9510,0.1280,0.0988,1.153,close,0.0963
noproj,scissors/scissors,81.998,81.998,0.9487,0.0590,0.0882,1.371,open,0.0667
noproj,scissors/scissors,85.972,94.028,0.9485,0.1061,0.0998,1.200,close,0.1406
noproj,scissors/scissors,51.444,128.556,0.9495,0.1634,0.0708,1.130,close,0.1925
noproj,scissors/scissors,45.841,45.841,0.9492,0.1655,0.0183,1.233,open,0.1230
noproj,scissors/scissors,51.160,128.840,0.9526,0.1453,0.0985,1.141,close,0.1915
noproj,scissors/scissors,60.340,119.660,0.9518,0.1422,0.0899,1.122,close,0.1471
noproj,scissors/scissors,58.690,121.310,0.9533,0.1638,0.0960,1.123,close,0.1173
noproj,scissors/scissors,50.521,50.521,0.9506,0.2025,0.0119,1.271,open,0.0705
noproj,scissors/scissors,29.695,150.305,0.9533,0.2097,0.0021,1.158,close,0.0248
