model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
dense,scissors/scissors,71.647,108.353,0.9469,0.2556,0.1420,1.435,close,0.0302
dense,scissors/scissors,87.309,92.691,0.9372,0.1988,0.0606,1.403,close,0.0784
dense,scissors/scissors,23.183,23.183,0.9269,0.8539,0.0570,0.841,open,0.1366
dense,scissors/scissors,55.832,124.168,0.9512,0.3069,0.1058,1.122,close,0.1284
dense,scissors/scissors,87.287,92.713,0.9393,0.2165,0.0792,1.379,close,0.0141
dense,scissors/scissors,85.626,94.374,0.9379,0.2117,0.0530,1.142,close,0.1386
dense,scissors/scissors,82.287,97.713,0.9378,0.2676,0.0112,1.468,close,0.1165
dense,scissors/scissors,85.736,94.264,0.9393,0.2900,0.0923,1.221,close,0.0539
dense,scissors/scissors,86.207,93.793,0.9338,0.2255,0.0650,1.386,close,0.0830
dense,scissors/scissors,89.494,90.506,0.9475,0.1622,0.1310,1.350,close,0.0824
dense,scissors/scissors,46.914,46.914,0.9309,0.4798,0.0755,1.123,open,0.3120
dense,scissors/scissors,77.280,102.720,0.9341,0.1956,0.0158,1.362,close,0.1347
dense,scissors/scissors,86.367,93.633,0.9365,0.1170,0.0654,1.392,close,0.0602
dense,scissors/scissors,66.596,66.596,0.9223,0.5725,0.0624,1.203,open,0.2776
dense,scissors/scissors,82.526,97.474,0.9384,0.2078,0.0185,1.269,close,0.1220
dense,scissors/scissors,48.947,48.947,0.9279,0.5839,0.0058,1.247,open,0.2842
dense,scissors/scissors,74.730,105.270,0.9409,0.2112,0.0125,1.320,close,0.1202
dense,scissors/scissors,88.893,91.107,0.9442,0.1593,0.1574,1.459,close,0.1240
dense,scissors/scissors,29.604,29.604,0.9348,0.6168,0.0697,1.102,open,0.2997
dense,scissors/scissors,76.971,103.029,0.9452,0.2178,0.1925,1.363,close,0.1333
dense,scissors/scissors,88.124,91.876,0.9404,0.2222,0.1670,1.396,close,0.0890
dense,scissors/scissors,82.212,97.788,0.9383,0.3086,0.0642,1.271,close,0.1143
dense,scissors/scissors,83.032,83.032,0.9328,0.8521,0.0788,0.870,open,0.2267
dense,scissors/scissors,82.815,97.185,0.9523,0.5481,0.2087,1.137,close,0.3892
sf3d_only,capsulemachine/capsulemachine,59.214,59.214,0.0608,0.0781,0.2220,0.579,open,0.2054
sf3d_only,capsulemachine/capsulemachine,82.141,82.141,0.0485,0.0703,0.1597,0.596,open,0.2814
sf3d_only,capsulemachine/capsulemachine,55.266,55.266,0.0471,0.0356,0.1645,0.618,close,0.1333
sf3d_only,capsulemachine/capsulemachine,85.839,94.161,0.0613,0.1541,0.3400,0.638,open,0.4191
sf3d_only,capsulemachine/capsulemachine,73.252,73.252,0.0432,0.0168,0.0575,0.600,close,0.1019
sf3d_only,capsulemachine/capsulemachine,73.426,73.426,0.0375,0.0541,0.1592,0.540,close,0.1324
sf3d_only,capsulemachine/capsulemachine,30.088,149.912,0.0712,0.0792,0.1008,0.665,open,0.3425
sf3d_only,capsulemachine/capsulemachine,81.179,81.179,0.0431,0.0880,0.1910,0.548,close,0.3302
sf3d_only,capsulemachine/capsulemachine,19.569,19.569,0.0579,0.0738,0.0104,0.672,open,0.3620
sf3d_only,capsulemachine/capsulemachine,34.993,145.007,0.0420,0.1254,0.1292,0.517,close,0.5473
sf3d_only,capsulemachine/capsulemachine,65.070,114.930,0.0565,0.1083,0.2076,0.614,open,0.1762
sf3d_only,capsulemachine/capsulemachine,65.809,65.809,0.0550,0.1828,0.0399,0.551,close,0.1992
sf3d_only,capsulemachine/capsulemachine,83.172,83.172,0.0723,0.0927,0.2373,0.625,open,0.1753
sf3d_only,capsulemachine/capsulemachine,61.867,118.133,0.0531,0.0520,0.0907,0.604,close,0.0682
sf3d_only,scissors/scissors,35.049,144.951,0.9024,0.3230,0.0698,0.708,close,0.1194
sf3d_only,scissors/scissors,41.760,41.760,0.9085,0.1802,0.0752,0.825,open,0.1541
sf3d_only,scissors/scissors,16.209,163.791,0.9095,0.2959,0.0612,0.711,close,0.2938
sf3d_only,scissors/scissors,8.137,8.137,0.9200,0.2034,0.0653,0.741,open,0.2124
sf3d_only,scissors/scissors,33.029,146.971,0.8831,0.2394,0.0881,0.735,close,0.0843
sf3d_only,scissors/scissors,48.701,48.701,0.9299,0.1484,0.0271,0.857,open,0.1354
sf3d_only,scissors/scissors,70.151,109.849,0.8931,0.2905,0.1104,0.731,close,0.1918
sf3d_only,scissors/scissors,35.931,144.069,0.9184,0.3117,0.0226,0.748,close,0.2542
sf3d_only,scissors/scissors,22.936,157.064,0.9216,0.2947,0.0748,0.768,close,0.2591
sf3d_only,scissors/scissors,34.962,145.038,0.9041,0.3235,0.0573,0.696,close,0.2001
sf3d_only,scissors/scissors,19.536,19.536,0.9151,0.1327,0.0938,0.867,open,0.1811
sf3d_only,scissors/scissors,25.790,154.210,0.9111,0.3233,0.0870,0.776,close,0.2107
sf3d_only,scissors/scissors,21.513,158.487,0.9194,0.2757,0.0928,0.794,close,0.2446
sf3d_only,scissors/scissors,26.590,153.410,0.9224,0.3028,0.0577,0.765,close,0.2040
sf3d_only,scissors/scissors,40.379,40.379,0.8825,0.1429,0.0756,0.836,open,0.1361
sf3d_only,scissors/scissors,43.055,136.945,0.9099,0.2659,0.0664,0.861,close,0.0575
sf3d_only,scissors/scissors,57.550,57.550,0.8702,0.1394,0.0501,0.829,open,0.0250
sf3d_only,scissors/scissors,67.659,112.341,0.8821,0.2897,0.0866,0.757,close,0.2506
sf3d_only,scissors/scissors,52.894,52.894,0.9192,0.1414,0.0672,0.812,open,0.1246
sf3d_only,scissors/scissors,28.461,151.539,0.9115,0.2964,0.0964,0.751,close,0.2753
sf3d_only,scissors/scissors,16.002,163.998,0.9176,0.3160,0.0746,0.809,close,0.2473
sf3d_only,scissors/scissors,15.183,164.817,0.9236,0.2992,0.0688,0.776,close,0.2575
sf3d_only,scissors/scissors,47.793,132.207,0.9067,0.2628,0.0589,0.741,close,0.2240
sf3d_only,scissors/scissors,32.624,147.376,0.8971,0.2699,0.0409,0.731,close,0.2168
sf3d_only,scissors/scissors,49.510,130.490,0.8005,0.2989,0.1214,0.767,close,0.1592
sf3d_only,scissors/scissors,50.803,129.197,0.8962,0.3216,0.0735,0.794,close,0.2043
sf3d_only,scissors/scissors,26.989,153.011,0.9150,0.3122,0.0509,0.711,close,0.2438
sf3d_only,scissors/scissors,23.296,156.704,0.9017,0.2954,0.1199,0.698,close,0.1984
sf3d_only,scissors/scissors,37.984,142.016,0.9079,0.2666,0.1608,0.733,close,0.2617
sf3d_only,scissors/scissors,31.529,148.471,0.8857,0.3038,0.2241,0.641,close,0.3114
sf3d_only,scissors/scissors,38.297,38.297,0.9258,0.1875,0.1430,0.831,open,0.2041
sf3d_only,waffleiron/waffleiron,36.841,143.159,0.1085,0.2774,0.2412,0.511,open,0.3642
sf3d_only,waffleiron/waffleiron,69.852,69.852,0.0537,0.2518,0.0124,0.552,close,0.2758
sf3d_only,waffleiron/waffleiron,87.111,92.889,0.1105,0.2569,0.0190,0.458,open,0.3181
sf3d_only,waffleiron/waffleiron,62.029,62.029,0.0568,0.2601,0.0260,0.440,close,0.2827
sf3d_only,waffleiron/waffleiron,77.267,102.733,0.0584,0.1049,0.0984,0.527,open,0.0757
sf3d_only,waffleiron/waffleiron,78.607,78.607,0.0501,0.1592,0.0110,0.588,close,0.2254
sf3d_only,waffleiron/waffleiron,57.499,57.499,0.1840,0.2024,0.2851,0.475,open,0.2246
sf3d_only,waffleiron/waffleiron,39.797,140.203,0.0745,0.2556,0.0564,0.409,close,0.1527
sf3d_only,waffleiron/waffleiron,56.173,56.173,0.1783,0.2082,0.3080,0.479,open,0.4027
sf3d_only,waffleiron/waffleiron,53.552,126.448,0.0617,0.2399,0.1462,0.431,close,0.1916
sf3d_only,waffleiron/waffleiron,78.312,78.312,0.0841,0.2558,0.0729,0.505,open,0.1689
sf3d_only,waffleiron/waffleiron,79.570,79.570,0.0453,0.2639,0.2000,0.649,close,0.3536
sf3d_only,waffleiron/waffleiron,89.627,90.373,0.0689,0.2381,0.2831,0.532,open,0.4646
sf3d_only,waffleiron/waffleiron,19.999,19.999,0.0607,0.2876,0.1039,0.458,close,0.4301
sf3d_only,waffleiron/waffleiron,83.767,96.233,0.0685,0.2566,0.0528,0.491,open,0.4690
sf3d_only,waffleiron/waffleiron,79.501,100.499,0.0771,0.2553,0.3150,0.350,close,0.2440
sf3d_only,waffleiron/waffleiron,15.218,15.218,0.1455,0.2020,0.2137,0.532,open,0.2557
sf3d_only,waffleiron/waffleiron,68.800,68.800,0.0655,0.2483,0.0011,0.367,close,0.2563
sf3d_only,laptop/laptop,83.850,83.850,0.1452,0.0930,0.0671,0.762,open,0.3802
sf3d_only,laptop/laptop,88.271,91.729,0.0967,0.1832,0.1507,0.790,open,0.2843
sf3d_only,laptop/laptop,84.532,95.468,0.6282,0.2412,0.0819,0.790,open,0.4483
sf3d_only,laptop/laptop,80.092,80.092,0.0727,0.0356,0.0667,0.709,close,0.3554
sf3d_only,laptop/laptop,84.546,84.546,0.2583,0.1336,0.0646,0.720,open,0.2785
sf3d_only,laptop/laptop,76.430,76.430,0.0708,0.0646,0.1787,0.727,close,0.4082
sf3d_only,laptop/laptop,85.576,85.576,0.6179,0.2947,0.0799,0.747,open,0.4577
sf3d_only,laptop/laptop,56.685,56.685,0.2972,0.1182,0.0630,0.779,open,0.2160
sf3d_only,laptop/laptop,81.807,98.193,0.0596,0.0776,0.0326,0.761,close,0.1453
sf3d_only,laptop/laptop,74.171,74.171,0.2494,0.1057,0.1322,0.722,open,0.2741
sf3d_only,laptop/laptop,86.160,93.840,0.3495,0.1269,0.0577,0.751,open,0.4149
sf3d_only,laptop/laptop,77.330,102.670,0.0786,0.1055,0.0474,0.828,close,0.3058
sf3d_only,laptop/laptop,73.087,73.087,0.1494,0.1123,0.1566,0.764,open,0.2259
sf3d_only,laptop/laptop,87.121,87.121,0.0993,0.1057,0.0333,0.828,open,0.2041
sf3d_only,laptop/laptop,77.345,102.655,0.0589,0.0970,0.0542,0.809,close,0.2277
sf3d_only,laptop/laptop,60.767,60.767,0.2059,0.1291,0.0289,0.761,open,0.2324
sf3d_only,laptop/laptop,66.528,66.528,0.1797,0.1813,0.0239,0.798,open,0.2376
sf3d_only,box/box,68.921,111.079,0.0970,0.0125,0.0319,0.678,open,0.2397
sf3d_only,box/box,75.077,75.077,0.0635,0.1376,0.0083,0.707,open,0.2846
sf3d_only,box/box,45.334,45.334,0.0691,0.1029,0.1166,0.621,close,0.1082
sf3d_only,box/box,84.218,95.782,0.2182,0.0836,0.0337,0.737,open,0.2764
sf3d_only,box/box,47.803,47.803,0.0791,0.1574,0.2495,0.677,close,0.2106
sf3d_only,box/box,22.926,157.074,0.1335,0.1514,0.2162,0.588,open,0.2890
sf3d_only,box/box,47.401,47.401,0.3181,0.3268,0.0383,0.575,close,0.3313
sf3d_only,box/box,61.740,61.740,0.2218,0.1999,0.1808,0.643,open,0.4498
sf3d_only,box/box,40.181,40.181,0.1518,0.2198,0.0697,0.677,open,0.1876
sf3d_only,box/box,59.770,59.770,0.0918,0.1484,0.1645,0.634,open,0.3880
sf3d_only,box/box,62.835,62.835,0.1176,0.1413,0.1174,0.671,close,0.4128
sf3d_only,notebook/notebook,82.369,82.369,0.4199,0.0772,0.2144,0.888,open,0.0897
sf3d_only,notebook/notebook,76.058,76.058,0.4911,0.1020,0.1980,0.890,open,0.0659
sf3d_only,notebook/notebook,87.043,92.957,0.1902,0.0631,0.3170,0.972,open,0.1048
sf3d_only,notebook/notebook,87.481,92.519,0.1294,0.1233,0.3202,0.937,open,0.1151
sf3d_only,notebook/notebook,57.405,122.595,0.1336,0.1607,0.2004,0.857,close,0.1410
sf3d_only,notebook/notebook,86.274,86.274,0.6810,0.0233,0.0795,0.790,open,0.1546
sf3d_only,notebook/notebook,66.476,66.476,0.1422,0.0361,0.2661,0.840,close,0.2529
sf3d_only,notebook/notebook,85.888,85.888,0.5125,0.0863,0.1593,0.976,open,0.1452
sf3d_only,notebook/notebook,74.644,74.644,0.1775,0.0424,0.1326,0.811,close,0.0944
sf3d_only,notebook/notebook,88.395,91.605,0.5254,0.0380,0.1390,0.838,open,0.0682
sf3d_only,notebook/notebook,79.799,79.799,0.1311,0.0460,0.2956,0.855,close,0.0964
sf3d_only,notebook/notebook,88.993,91.007,0.2578,0.1002,0.3132,0.881,open,0.1081
sf3d_only,notebook/notebook,72.077,72.077,0.2493,0.0948,0.2488,0.954,open,0.1338
sf3d_only,notebook/notebook,42.800,137.200,0.2904,0.1883,0.1528,0.899,close,0.1099
sf3d_only,notebook/notebook,88.300,88.300,0.3940,0.0431,0.1137,0.884,open,0.1235
sf3d_only,notebook/notebook,81.308,98.692,0.1317,0.0648,0.2521,0.849,close,0.0947
sf3d_only,notebook/notebook,84.720,95.280,0.5581,0.1532,0.0478,0.861,open,0.1287
sf3d_only,notebook/notebook,88.534,88.534,0.1707,0.0683,0.1649,0.855,close,0.0645
sf3d_only,notebook/notebook,88.041,88.041,0.3867,0.0575,0.1003,0.892,open,0.1136
sf3d_only,notebook/notebook,53.930,126.070,0.1774,0.1511,0.2250,0.824,close,0.0780
sf3d_only,phone/phone,65.715,65.715,0.0527,0.1385,0.0133,0.691,close,0.1225
sf3d_only,phone/phone,34.544,145.456,0.1575,0.0665,0.0250,0.724,open,0.2289
sf3d_only,phone/phone,65.568,65.568,0.0565,0.1402,0.0101,0.633,close,0.1607
sf3d_only,phone/phone,30.285,149.715,0.3659,0.1067,0.0137,0.848,open,0.0336
sf3d_only,phone/phone,74.012,74.012,0.0489,0.1037,0.0199,0.695,close,0.1042
sf3d_only,phone/phone,18.535,161.465,0.3490,0.0438,0.0636,0.860,open,0.1259
sf3d_only,phone/phone,59.945,59.945,0.0568,0.1613,0.0171,0.667,close,0.1539
sf3d_only,phone/phone,84.769,84.769,0.1155,0.0952,0.1300,0.802,open,0.1732
sf3d_only,phone/phone,72.218,72.218,0.0664,0.0867,0.0492,0.772,close,0.2315
sf3d_only,phone/phone,54.450,125.550,0.2801,0.0968,0.1007,0.867,open,0.2145
sf3d_only,phone/phone,39.303,39.303,0.0631,0.1279,0.0028,0.792,close,0.2414
sf3d_only,phone/phone,73.594,73.594,0.2180,0.0089,0.0959,0.794,open,0.1026
sf3d_only,phone/phone,86.446,93.554,0.0445,0.1206,0.0016,0.647,close,0.1051
sf3d_only,phone/phone,58.326,58.326,0.3333,0.0898,0.0272,0.913,open,0.1624
sf3d_only,phone/phone,66.336,113.664,0.0515,0.1848,0.1155,0.871,close,0.3122
sf3d_only,phone/phone,25.717,154.283,0.1747,0.1845,0.0757,0.819,open,0.1197
sf3d_only,laptop/laptop,68.771,111.229,0.4513,0.1160,0.1260,0.794,open,0.3874
sf3d_only,laptop/laptop,75.900,104.100,0.0882,0.0621,0.0096,0.824,close,0.3474
sf3d_only,laptop/laptop,89.770,89.770,0.5909,0.3133,0.0042,0.727,close,0.5525
sf3d_only,laptop/laptop,55.946,124.054,0.1247,0.1406,0.0120,0.816,open,0.0360
sf3d_only,laptop/laptop,78.661,101.339,0.0855,0.0774,0.0750,0.719,close,0.4188
sf3d_only,laptop/laptop,86.841,86.841,0.2893,0.2239,0.0702,0.827,open,0.2062
sf3d_only,laptop/laptop,79.931,100.069,0.0926,0.0958,0.0372,0.900,close,0.3022
sf3d_only,laptop/laptop,74.833,105.167,0.4135,0.0562,0.0796,0.856,open,0.3405
sf3d_only,laptop/laptop,77.805,102.195,0.1783,0.2006,0.0190,0.917,close,0.2718
sf3d_only,laptop/laptop,85.964,94.036,0.2855,0.1835,0.1240,0.822,open,0.4270
sf3d_only,laptop/laptop,72.552,107.448,0.1407,0.0674,0.1329,0.844,open,0.4148
sf3d_only,laptop/laptop,84.944,84.944,0.0957,0.0904,0.0516,0.720,close,0.3486
sf3d_only,laptop/laptop,78.858,78.858,0.3196,0.0517,0.0356,0.842,open,0.2588
sf3d_only,laptop/laptop,77.517,102.483,0.0713,0.0978,0.0166,0.881,close,0.3012
sf3d_only,microwave/microwave,41.673,41.673,0.9223,0.2147,0.0628,1.101,open,0.1343
sf3d_only,microwave/microwave,72.052,107.948,0.6136,0.2652,0.0665,0.844,close,0.2191
sf3d_only,microwave/microwave,58.722,58.722,0.8937,0.1214,0.0211,1.113,open,0.2226
sf3d_only,microwave/microwave,64.079,115.921,0.8109,0.2474,0.0450,0.827,close,0.1427
sf3d_only,microwave/microwave,70.587,109.413,0.6956,0.2273,0.0271,0.769,close,0.0958
sf3d_only,microwave/microwave,53.340,53.340,0.7906,0.1797,0.0182,0.957,open,0.0815
sf3d_only,microwave/microwave,64.755,115.245,0.6974,0.2239,0.0111,0.840,close,0.1018
sf3d_only,microwave/microwave,49.851,49.851,0.8690,0.1890,0.1308,1.031,open,0.1628
sf3d_only,microwave/microwave,64.750,115.250,0.8111,0.2723,0.0199,0.796,close,0.1681
sf3d_only,microwave/microwave,40.241,40.241,0.9101,0.1505,0.0650,1.068,open,0.2504
sf3d_only,microwave/microwave,77.350,102.650,0.6717,0.2946,0.1003,0.832,close,0.2605
sf3d_only,microwave/microwave,48.388,48.388,0.8566,0.1680,0.0473,0.928,open,0.1292
sf3d_only,microwave/microwave,72.377,107.623,0.7100,0.2387,0.0387,0.856,close,0.2043
sf3d_only,microwave/microwave,47.387,47.387,0.5843,0.3527,0.2007,1.136,open,0.2421
sf3d_only,microwave/microwave,79.038,100.962,0.3193,0.2751,0.0096,0.767,close,0.2971
sf3d_only,microwave/microwave,55.584,55.584,0.7797,0.2023,0.2088,1.141,open,0.2678
sf3d_only,microwave/microwave,72.046,107.954,0.6963,0.2641,0.1936,0.801,close,0.3141
sf3d_only,microwave/microwave,62.382,62.382,0.7575,0.2001,0.1313,1.152,open,0.1629
sf3d_only,microwave/microwave,69.745,110.255,0.2630,0.2917,0.2107,0.891,close,0.2149
sf3d_only,microwave/microwave,48.985,131.015,0.7765,0.3351,0.1711,1.036,close,0.1532
sf3d_only,microwave/microwave,45.251,45.251,0.8659,0.1684,0.0135,0.989,open,0.0586
sf3d_only,microwave/microwave,45.302,134.698,0.8501,0.2760,0.0247,0.808,close,0.0191
sf3d_only,microwave/microwave,58.989,58.989,0.8678,0.1549,0.0062,1.120,open,0.1122
sf3d_only,microwave/microwave,60.865,119.135,0.6803,0.2882,0.0681,0.804,close,0.0726
sf3d_only,microwave/microwave,48.690,48.690,0.8651,0.2180,0.0439,1.006,open,0.0667
sf3d_only,microwave/microwave,57.446,122.554,0.7297,0.2274,0.0266,0.809,close,0.2232
sf3d_only,microwave/microwave,40.909,40.909,0.8851,0.1640,0.0043,0.917,open,0.0908
sf3d_only,microwave/microwave,73.529,106.471,0.5697,0.2876,0.1527,0.784,close,0.1870
sf3d_only,microwave/microwave,52.871,52.871,0.4415,0.3413,0.1571,1.290,open,0.2381
sf3d_only,microwave/microwave,86.446,93.554,0.2476,0.2379,0.0607,0.822,close,0.2605
sf3d_only,microwave/microwave,70.726,109.274,0.4482,0.3429,0.0378,0.799,close,0.1042
sf3d_only,notebook/notebook,72.544,72.544,0.4383,0.0640,0.0002,0.897,open,0.3087
sf3d_only,notebook/notebook,45.905,134.095,0.7396,0.2272,0.0303,0.874,close,0.2212
sf3d_only,notebook/notebook,54.675,54.675,0.7550,0.0574,0.0996,0.754,open,0.2455
sf3d_only,notebook/notebook,25.080,154.920,0.8419,0.1645,0.0942,0.833,close,0.1730
sf3d_only,notebook/notebook,13.698,166.302,0.7393,0.0605,0.0573,0.804,open,0.1507
sf3d_only,notebook/notebook,57.888,122.112,0.9258,0.2141,0.0440,0.783,close,0.2226
sf3d_only,notebook/notebook,40.881,40.881,0.8370,0.0329,0.2039,0.798,open,0.2309
sf3d_only,notebook/notebook,65.029,65.029,0.6533,0.0521,0.0344,0.904,open,0.2259
sf3d_only,notebook/notebook,31.971,148.029,0.7704,0.1220,0.0656,0.914,close,0.0539
sf3d_only,notebook/notebook,47.212,47.212,0.6542,0.0447,0.2243,0.838,open,0.5105
sf3d_only,notebook/notebook,78.031,78.031,0.3827,0.0974,0.1255,0.985,open,0.1920
sf3d_only,notebook/notebook,13.685,166.315,0.6237,0.2277,0.0009,0.799,close,0.1834
sf3d_only,notebook/notebook,70.684,109.316,0.3783,0.0712,0.1467,0.892,close,0.2388
sf3d_only,notebook/notebook,54.612,54.612,0.7166,0.0548,0.0861,0.796,open,0.2267
sf3d_only,notebook/notebook,27.252,152.748,0.8987,0.1472,0.0078,0.863,close,0.1250
sf3d_only,notebook/notebook,47.577,47.577,0.7507,0.0153,0.2459,0.758,open,0.5445
sf3d_only,phone/phone,67.644,67.644,0.0540,0.0991,0.0028,0.673,close,0.2572
sf3d_only,phone/phone,73.932,73.932,0.2989,0.0234,0.1505,0.662,open,0.1708
sf3d_only,phone/phone,27.923,27.923,0.0604,0.0858,0.1537,0.752,close,0.1481
sf3d_only,phone/phone,88.043,88.043,0.5268,0.0444,0.0524,0.760,open,0.0736
sf3d_only,phone/phone,50.949,50.949,0.0573,0.0327,0.1478,0.665,close,0.1393
sf3d_only,phone/phone,54.876,125.124,0.4803,0.0762,0.1187,0.829,open,0.1312
sf3d_only,phone/phone,89.600,90.400,0.0503,0.0521,0.1265,0.598,close,0.2006
sf3d_only,phone/phone,73.083,73.083,0.4771,0.0303,0.0377,0.694,open,0.0609
sf3d_only,phone/phone,69.410,69.410,0.0445,0.0715,0.0558,0.630,close,0.2100
sf3d_only,phone/phone,9.903,170.097,0.4565,0.1348,0.1915,0.861,open,0.2201
sf3d_only,phone/phone,81.230,81.230,0.0460,0.0443,0.0898,0.599,close,0.2123
sf3d_only,phone/phone,87.760,87.760,0.6028,0.0510,0.1165,0.740,open,0.1315
sf3d_only,phone/phone,83.644,83.644,0.0421,0.1137,0.0021,0.610,close,0.0733
sf3d_only,phone/phone,79.863,79.863,0.3250,0.0838,0.0497,0.667,open,0.0381
sf3d_only,phone/phone,87.995,92.005,0.0446,0.0395,0.0371,0.698,close,0.0474
sf3d_only,phone/phone,60.953,60.953,0.3468,0.0892,0.0807,0.645,open,0.1009
sf3d_only,phone/phone,79.101,79.101,0.0467,0.0940,0.0063,0.728,close,0.2786
sf3d_only,phone/phone,30.392,30.392,0.6932,0.1270,0.1372,0.812,open,0.2008
sf3d_only,espressomachine/espressomachine,83.747,96.253,0.0885,0.1097,0.0224,0.623,open,0.1785
sf3d_only,espressomachine/espressomachine,22.653,22.653,0.0659,0.1497,0.0796,0.447,close,0.1274
sf3d_only,espressomachine/espressomachine,89.199,89.199,0.0885,0.1445,0.0946,0.607,open,0.2283
sf3d_only,espressomachine/espressomachine,29.873,29.873,0.0656,0.0380,0.0748,0.461,close,0.1215
sf3d_only,espressomachine/espressomachine,68.147,111.853,0.0851,0.0782,0.0769,0.617,open,0.2025
sf3d_only,espressomachine/espressomachine,31.104,31.104,0.0689,0.0377,0.0707,0.456,close,0.0799
sf3d_only,espressomachine/espressomachine,57.461,122.539,0.0732,0.0622,0.0348,0.592,open,0.1807
sf3d_only,espressomachine/espressomachine,64.722,64.722,0.0687,0.1496,0.2927,0.468,close,0.4555
sf3d_only,espressomachine/espressomachine,74.281,105.719,0.0876,0.0695,0.0886,0.633,open,0.1873
sf3d_only,espressomachine/espressomachine,11.481,11.481,0.0776,0.0590,0.2257,0.359,close,0.2289
sf3d_only,espressomachine/espressomachine,33.557,146.443,0.0807,0.0554,0.0781,0.626,open,0.1435
sf3d_only,espressomachine/espressomachine,11.751,11.751,0.0779,0.1173,0.1211,0.460,close,0.1256
sf3d_only,espressomachine/espressomachine,75.121,104.879,0.0903,0.1511,0.0781,0.531,open,0.3038
sf3d_only,espressomachine/espressomachine,31.979,31.979,0.0666,0.0474,0.1486,0.495,close,0.1963
sf3d_only,espressomachine/espressomachine,59.279,120.721,0.0739,0.0906,0.0994,0.660,open,0.1730
sf3d_only,espressomachine/espressomachine,22.464,22.464,0.0720,0.1077,0.1105,0.413,close,0.1342
sf3d_only,espressomachine/espressomachine,40.715,139.285,0.0706,0.0288,0.0041,0.622,open,0.1672
sf3d_only,espressomachine/espressomachine,14.776,14.776,0.0668,0.1332,0.1442,0.431,close,0.1897
sf3d_only,espressomachine/espressomachine,44.455,135.545,0.0856,0.0429,0.1056,0.549,open,0.2395
sf3d_only,espressomachine/espressomachine,5.681,5.681,0.0632,0.1298,0.1337,0.455,close,0.1592
sf3d_only,espressomachine/espressomachine,70.440,109.560,0.0898,0.1104,0.0292,0.617,open,0.2482
sf3d_only,espressomachine/espressomachine,20.021,20.021,0.0676,0.0840,0.0676,0.460,close,0.0793
sf3d_only,espressomachine/espressomachine,84.379,95.621,0.0979,0.1446,0.0946,0.545,open,0.2422
sf3d_only,espressomachine/espressomachine,22.013,22.013,0.0778,0.0853,0.0529,0.469,close,0.0778
sf3d_only,espressomachine/espressomachine,78.980,101.020,0.0839,0.1113,0.0546,0.586,open,0.2076
sf3d_only,espressomachine/espressomachine,22.693,22.693,0.0685,0.0545,0.0089,0.476,close,0.1367
sf3d_only,espressomachine/espressomachine,84.373,84.373,0.0997,0.1539,0.0747,0.633,open,0.1778
sf3d_only,espressomachine/espressomachine,35.248,35.248,0.0728,0.0849,0.0127,0.446,close,0.0617
sf3d_only,espressomachine/espressomachine,68.142,111.858,0.0805,0.0981,0.0568,0.540,open,0.2891
sf3d_only,espressomachine/espressomachine,17.169,17.169,0.0701,0.1160,0.0985,0.469,close,0.1221
sf3d_only,espressomachine/espressomachine,86.835,93.165,0.0742,0.1236,0.1503,0.631,open,0.2151
sf3d_only,espressomachine/espressomachine,23.797,23.797,0.0758,0.0388,0.0633,0.518,close,0.1625
sf3d_only,espressomachine/espressomachine,69.970,110.030,0.0770,0.1020,0.0840,0.571,open,0.2433
sf3d_only,espressomachine/espressomachine,43.063,43.063,0.0600,0.1083,0.0016,0.464,close,0.0937
sf3d_only,espressomachine/espressomachine,73.704,106.296,0.0663,0.0932,0.0801,0.662,open,0.1545
sf3d_only,espressomachine/espressomachine,25.956,25.956,0.0579,0.0380,0.1357,0.508,close,0.0911
sf3d_only,espressomachine/espressomachine,76.603,103.397,0.0691,0.1148,0.0709,0.644,open,0.1934
sf3d_only,espressomachine/espressomachine,72.559,107.441,0.0704,0.1020,0.0620,0.583,open,0.2085
sf3d_only,espressomachine/espressomachine,17.614,17.614,0.0756,0.0728,0.1776,0.467,close,0.2003
sf3d_only,espressomachine/espressomachine,70.767,109.233,0.0761,0.1045,0.1029,0.595,open,0.2902
sf3d_only,phone/phone,88.886,88.886,0.0481,0.0840,0.0058,0.729,close,0.2977
sf3d_only,phone/phone,72.703,72.703,0.3325,0.1102,0.0585,0.797,open,0.1675
sf3d_only,phone/phone,78.601,78.601,0.0441,0.0626,0.0614,0.673,close,0.2363
sf3d_only,phone/phone,55.652,55.652,0.4808,0.1040,0.0137,0.797,open,0.1901
sf3d_only,phone/phone,76.652,103.348,0.0458,0.0810,0.0349,0.643,close,0.1830
sf3d_only,phone/phone,80.107,80.107,0.4162,0.1805,0.0382,0.760,open,0.1160
sf3d_only,phone/phone,86.891,86.891,0.0394,0.3199,0.1741,0.765,close,0.6626
sf3d_only,phone/phone,84.550,95.450,0.4597,0.1653,0.1337,0.867,open,0.1405
sf3d_only,phone/phone,79.946,79.946,0.0479,0.0254,0.0911,0.657,close,0.1679
sf3d_only,phone/phone,76.159,103.841,0.1706,0.0772,0.0491,0.742,open,0.1193
sf3d_only,phone/phone,68.572,111.428,0.0455,0.0867,0.0217,0.649,close,0.2223
sf3d_only,phone/phone,62.464,117.536,0.6713,0.1387,0.0159,0.831,open,0.1600
