model,source,key,gt_type,p_rev,type_ok,point_err,end_err,disp_err,gt_len,mask_iou
noproj,hoi4d,ZY20210800002_H2_C6_N21/S246_s01_T2_w1_f079,1,0.9512,1,0.00889,0.25485,0.26366,0.18902,0.8730
dense,hoi4d,ZY20210800002_H2_C6_N21/S246_s01_T2_w1_f079,1,0.9458,1,0.00766,0.02459,0.03084,0.18902,0.7073
sf3d_only,hoi4d,ZY20210800002_H2_C6_N21/S246_s01_T2_w2_f166,1,0.9470,1,0.04985,0.19581,0.17286,0.20171,0.0158
noproj,hoi4d,ZY20210800002_H2_C6_N21/S246_s01_T2_w2_f166,1,0.9487,1,0.01135,0.03864,0.04409,0.20171,0.8110
dense,hoi4d,ZY20210800002_H2_C6_N21/S246_s01_T2_w2_f166,1,0.9336,1,0.00379,0.07539,0.07865,0.20171,0.7057
sf3d_only,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w0_f033,1,0.9407,1,0.19515,0.14754,0.28871,0.09229,0.0000
noproj,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w0_f033,1,0.9486,1,0.01053,0.11208,0.11269,0.09229,0.8304
dense,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w0_f033,1,0.9246,1,0.01287,0.03982,0.04628,0.09229,0.6132
sf3d_only,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w1_f097,1,0.9462,1,0.07371,0.28500,0.30837,0.10879,0.0069
noproj,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w1_f097,1,0.9476,1,0.01241,0.17593,0.18184,0.10879,0.8351
dense,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w1_f097,1,0.9326,1,0.00765,0.03008,0.02970,0.10879,0.5972
sf3d_only,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w2_f172,1,0.9502,1,0.11549,0.11805,0.18543,0.11646,0.0411
noproj,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w2_f172,1,0.9481,1,0.01081,0.09213,0.09282,0.11646,0.7925
dense,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w2_f172,1,0.9282,1,0.01511,0.01091,0.00604,0.11646,0.6455
sf3d_only,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w3_f226,1,0.9486,1,0.04914,0.24581,0.28121,0.12412,0.0221
noproj,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w3_f226,1,0.9484,1,0.01203,0.17976,0.19178,0.12412,0.7808
dense,hoi4d,ZY20210800002_H2_C6_N21/S43_s02_T1_w3_f226,1,0.9414,1,0.01202,0.05333,0.04189,0.12412,0.5789
sf3d_only,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w2_f104,1,0.9135,1,0.20010,0.29840,0.25155,0.18682,0.0000
noproj,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w2_f104,1,0.9506,1,0.01928,0.24437,0.26334,0.18682,0.8189
dense,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w2_f104,1,0.9387,1,0.02058,0.05093,0.03418,0.18682,0.6867
sf3d_only,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w3_f200,1,0.9255,1,0.13905,0.15312,0.08336,0.25747,0.1017
noproj,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w3_f200,1,0.9474,1,0.00893,0.10782,0.09893,0.25747,0.8824
dense,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w3_f200,1,0.9305,1,0.01485,0.06689,0.06889,0.25747,0.7949
sf3d_only,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w4_f238,1,0.8537,1,0.44226,0.36442,0.09665,0.23572,0.0006
noproj,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w4_f238,1,0.9512,1,0.01737,0.30501,0.31942,0.23572,0.7990
dense,hoi4d,ZY20210800002_H2_C6_N33/S246_s04_T3_w4_f238,1,0.9386,1,0.02352,0.04546,0.03097,0.23572,0.7391
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w0_f049,1,0.0338,0,0.20606,0.48366,0.37058,0.04349,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w0_f049,1,0.9494,1,0.02120,0.11092,0.11195,0.04349,0.6229
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w0_f049,1,0.8966,1,0.02222,0.01729,0.00501,0.04349,0.5491
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w1_f072,1,0.0518,0,0.40792,0.46000,0.12584,0.02553,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w1_f072,1,0.9512,1,0.00576,0.07251,0.07594,0.02553,0.3736
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w1_f072,1,0.9042,1,0.00365,0.00543,0.00222,0.02553,0.3691
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w2_f181,1,0.0396,0,0.26290,0.52708,0.42118,0.06985,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w2_f181,1,0.9519,1,0.01474,0.03376,0.02634,0.06985,0.7294
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w2_f181,1,0.9095,1,0.01214,0.00680,0.01871,0.06985,0.6408
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w3_f230,1,0.0448,0,0.33207,0.48864,0.23329,0.02893,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w3_f230,1,0.9534,1,0.00398,0.07214,0.07087,0.02893,0.3964
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s01_T1_w3_f230,1,0.9174,1,0.01164,0.02274,0.01125,0.02893,0.3491
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w0_f052,1,0.0576,0,0.39123,0.43809,0.30120,0.02822,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w0_f052,1,0.9448,1,0.01508,0.04369,0.04858,0.02822,0.6494
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w0_f052,1,0.8993,1,0.04746,0.05138,0.02505,0.02822,0.5147
sf3d_only,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w1_f072,1,0.0427,0,0.32799,0.39111,0.23266,0.02032,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w1_f072,1,0.9521,1,0.01099,0.08870,0.08484,0.02032,0.7061
dense,hoi4d,ZY20210800003_H3_C14_N30/S334_s03_T2_w1_f072,1,0.9363,1,0.01862,0.01943,0.00951,0.02032,0.4437
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w0_f055,1,0.0385,0,0.26868,0.50844,0.25064,0.11437,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w0_f055,1,0.9455,1,0.00498,0.07030,0.07238,0.11437,0.8687
dense,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w0_f055,1,0.9226,1,0.02788,0.04154,0.02420,0.11437,0.7582
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w1_f102,1,0.0346,0,0.04398,0.16304,0.16913,0.07074,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w1_f102,1,0.9481,1,0.00468,0.11229,0.11411,0.07074,0.6260
dense,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w1_f102,1,0.9322,1,0.00543,0.03862,0.04246,0.07074,0.6271
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w2_f205,1,0.0438,0,0.18603,0.42283,0.25849,0.08164,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w2_f205,1,0.9427,1,0.01068,0.05624,0.04784,0.08164,0.8336
dense,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w2_f205,1,0.9160,1,0.02220,0.01890,0.01933,0.08164,0.7331
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w3_f236,1,0.0625,0,0.04958,0.18200,0.18360,0.07592,0.0508
noproj,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w3_f236,1,0.9473,1,0.02162,0.15089,0.16755,0.07592,0.6667
dense,hoi4d,ZY20210800003_H3_C14_N35/S166_s03_T1_w3_f236,1,0.9427,1,0.02521,0.05630,0.03226,0.07592,0.6282
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w0_f044,1,0.0420,0,0.26258,0.43755,0.26308,0.06423,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w0_f044,1,0.9496,1,0.01348,0.03391,0.04336,0.06423,0.6036
dense,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w0_f044,1,0.9221,1,0.00296,0.02942,0.02702,0.06423,0.4782
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w1_f060,1,0.0469,0,0.06226,0.09719,0.14977,0.11273,0.3732
noproj,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w1_f060,1,0.7178,1,0.00804,0.07957,0.07449,0.11273,0.1900
dense,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w1_f060,1,0.6690,1,0.02111,0.09920,0.07947,0.11273,0.3222
sf3d_only,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w4_f186,1,0.0458,0,0.20353,0.20543,0.34364,0.10940,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w4_f186,1,0.9400,1,0.01757,0.09360,0.09438,0.10940,0.4253
dense,hoi4d,ZY20210800003_H3_C14_N35/S207_s03_T2_w4_f186,1,0.9249,1,0.01863,0.02973,0.02002,0.10940,0.4468
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w0_f045,1,0.0356,0,0.26487,0.49769,0.40205,0.07164,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w0_f045,1,0.9427,1,0.00948,0.08696,0.08766,0.07164,0.7518
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w0_f045,1,0.9111,1,0.02889,0.00930,0.02331,0.07164,0.4222
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w1_f091,1,0.0487,0,0.21457,0.09880,0.15410,0.02912,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w1_f091,1,0.9445,1,0.00451,0.08403,0.08199,0.02912,0.5308
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w1_f091,1,0.9064,1,0.02260,0.02770,0.01256,0.02912,0.3856
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w2_f192,1,0.0353,0,0.24267,0.45327,0.41018,0.06513,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w2_f192,1,0.9445,1,0.01770,0.02441,0.03859,0.06513,0.7002
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w2_f192,1,0.9138,1,0.03581,0.02447,0.01778,0.06513,0.5914
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w3_f236,1,0.0442,0,0.02740,0.10973,0.12916,0.01728,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w3_f236,1,0.9452,1,0.00427,0.05373,0.05723,0.01728,0.4494
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s02_T1_w3_f236,1,0.8878,1,0.01244,0.01664,0.01219,0.01728,0.3683
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w0_f039,1,0.0455,0,0.33748,0.55735,0.45355,0.05366,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w0_f039,1,0.9485,1,0.01970,0.03564,0.01826,0.05366,0.6410
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w0_f039,1,0.9274,1,0.02547,0.00656,0.02700,0.05366,0.4066
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w1_f060,1,0.0491,0,0.32867,0.38532,0.20672,0.01881,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w1_f060,1,0.9501,1,0.00155,0.07305,0.07357,0.01881,0.5554
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w1_f060,1,0.9181,1,0.01679,0.02628,0.01107,0.01881,0.4422
sf3d_only,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w2_f134,1,0.0486,0,0.28505,0.41083,0.35161,0.05857,0.0000
noproj,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w2_f134,1,0.9482,1,0.00976,0.05972,0.05129,0.05857,0.7064
dense,hoi4d,ZY20210800003_H3_C14_N36/S334_s03_T2_w2_f134,1,0.9341,1,0.02722,0.00797,0.02167,0.05857,0.4529
sf3d_only,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w1_f052,1,0.3945,0,0.05885,0.29011,0.34818,0.37891,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w1_f052,1,0.9449,1,0.02067,0.16972,0.15118,0.37891,0.2290
dense,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w1_f052,1,0.9355,1,0.02002,0.07921,0.05924,0.37891,0.3282
sf3d_only,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w2_f086,1,0.2713,0,0.16760,0.17261,0.11912,0.30410,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w2_f086,1,0.9434,1,0.01400,0.24316,0.25562,0.30410,0.5354
dense,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w2_f086,1,0.9493,1,0.00161,0.01817,0.01821,0.30410,0.0000
sf3d_only,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w5_f186,1,0.1461,0,0.06199,0.45348,0.44898,0.35542,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w5_f186,1,0.9447,1,0.01459,0.16908,0.16972,0.35542,0.1716
dense,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w5_f186,1,0.9548,1,0.00866,0.06178,0.05592,0.35542,0.3012
sf3d_only,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w6_f214,1,0.3605,0,0.21545,0.31609,0.34432,0.26927,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w6_f214,1,0.9478,1,0.00781,0.22414,0.23130,0.26927,0.4881
dense,hoi4d,ZY20210800003_H3_C17_N08/S167_s02_T2_w6_f214,1,0.9500,1,0.00843,0.04787,0.05280,0.26927,0.0000
sf3d_only,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w2_f119,0,0.0412,1,0.31205,0.23188,0.09702,0.04731,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w2_f119,0,0.0542,1,0.00941,0.13984,0.13043,0.04731,0.0005
dense,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w2_f119,0,0.0504,1,0.03349,0.06452,0.03124,0.04731,0.1946
sf3d_only,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w3_f130,0,0.0477,1,0.34290,0.26454,0.36243,0.02712,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w3_f130,0,0.0542,1,0.02334,0.05717,0.03920,0.02712,0.2038
dense,hoi4d,ZY20210800003_H3_C17_N25/S171_s02_T3_w3_f130,0,0.0455,1,0.01305,0.02216,0.01451,0.02712,0.4185
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w1_f053,1,0.1671,0,0.13529,0.58315,0.60249,0.20968,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w1_f053,1,0.9510,1,0.10413,0.18267,0.08599,0.20968,0.1399
dense,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w1_f053,1,0.9419,1,0.00418,0.07501,0.07083,0.20968,0.0285
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w2_f080,1,0.3678,0,0.34803,0.52186,0.43709,0.27257,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w2_f080,1,0.8943,1,0.31419,0.25886,0.28590,0.27257,0.5795
dense,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w2_f080,1,0.9536,1,0.02966,0.11300,0.13979,0.27257,0.2234
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w5_f189,1,0.2474,0,0.20875,0.73739,0.60630,0.21817,0.0078
noproj,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w5_f189,1,0.8911,1,0.14249,0.23864,0.11430,0.21817,0.0000
dense,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w5_f189,1,0.9156,1,0.02328,0.04983,0.02824,0.21817,0.0000
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w6_f211,1,0.1295,0,0.43020,0.60333,0.42182,0.30451,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w6_f211,1,0.9301,1,0.15171,0.13863,0.26093,0.30451,0.6092
dense,hoi4d,ZY20210800003_H3_C17_N64/S264_s04_T2_w6_f211,1,0.9513,1,0.19461,0.06118,0.13503,0.30451,0.1965
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w2_f116,0,0.0512,1,0.46420,0.35145,0.23191,0.07787,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w2_f116,0,0.0532,1,0.00465,0.11537,0.11136,0.07787,0.5833
dense,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w2_f116,0,0.0518,1,0.01085,0.04597,0.05577,0.07787,0.0910
sf3d_only,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w6_f246,0,0.0416,1,0.47815,0.33241,0.22507,0.05404,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w6_f246,0,0.0502,1,0.00920,0.07147,0.06701,0.05404,0.5803
dense,hoi4d,ZY20210800003_H3_C17_N64/S266_s02_T3_w6_f246,0,0.0532,1,0.01741,0.04331,0.03618,0.05404,0.3306
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w1_f052,1,0.7499,1,0.11046,0.23009,0.15208,0.26643,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w1_f052,1,0.9399,1,0.06499,0.18296,0.12257,0.26643,0.7846
dense,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w1_f052,1,0.9460,1,0.14375,0.28300,0.13942,0.26643,0.7083
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w2_f072,1,0.1471,0,0.07734,0.51780,0.51626,0.29893,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w2_f072,1,0.9411,1,0.38006,0.44777,0.27286,0.29893,0.5591
dense,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w2_f072,1,0.9568,1,0.32191,0.23981,0.12082,0.29893,0.5673
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w5_f178,1,0.7980,1,0.42197,0.45220,0.05023,0.21648,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w5_f178,1,0.9332,1,0.04616,0.15220,0.10847,0.21648,0.7003
dense,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w5_f178,1,0.9350,1,0.14515,0.32143,0.17736,0.21648,0.5483
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w6_f196,1,0.3097,0,0.07416,0.57599,0.52374,0.28001,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w6_f196,1,0.9405,1,0.32379,0.41860,0.25455,0.28001,0.4952
dense,hoi4d,ZY20210800003_H3_C17_N69/S264_s05_T2_w6_f196,1,0.9498,1,0.33114,0.26983,0.11879,0.28001,0.2452
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w4_f251,0,0.0368,1,0.43709,0.39596,0.06624,0.03713,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w4_f251,0,0.0495,1,0.03614,0.17969,0.14933,0.03713,0.5932
dense,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w4_f251,0,0.0483,1,0.04668,0.03457,0.01410,0.03713,0.5924
sf3d_only,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w6_f245,0,0.0460,1,0.49034,0.35735,0.18433,0.04386,0.0000
noproj,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w6_f245,0,0.0533,1,0.03105,0.16290,0.14124,0.04386,0.6971
dense,hoi4d,ZY20210800003_H3_C17_N69/S266_s03_T3_w6_f245,0,0.0509,1,0.04082,0.05590,0.01865,0.04386,0.4728
sf3d_only,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w0_f039,0,0.0423,1,0.05386,0.11020,0.14051,0.10655,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w0_f039,0,0.0506,1,0.01562,0.11533,0.13085,0.10655,0.6638
dense,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w0_f039,0,0.0470,1,0.02267,0.02045,0.01887,0.10655,0.2379
sf3d_only,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w1_f126,0,0.0465,1,0.31066,0.28381,0.08562,0.16905,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w1_f126,0,0.0549,1,0.01853,0.14732,0.14616,0.16905,0.3989
dense,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w1_f126,0,0.0538,1,0.00542,0.08594,0.08072,0.16905,0.0000
sf3d_only,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w2_f205,0,0.0372,1,0.05235,0.15977,0.10755,0.07059,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w2_f205,0,0.0502,1,0.01119,0.12079,0.10976,0.07059,0.8329
dense,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w2_f205,0,0.0498,1,0.00693,0.06435,0.06457,0.07059,0.6664
sf3d_only,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w3_f251,0,0.0435,1,0.32300,0.32748,0.08553,0.05251,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w3_f251,0,0.0517,1,0.00799,0.14729,0.14013,0.05251,0.8524
dense,hoi4d,ZY20210800003_H3_C1_N03/S86_s02_T2_w3_f251,0,0.0469,1,0.00075,0.02292,0.02320,0.05251,0.7492
sf3d_only,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w0_f023,0,0.0548,1,0.10819,0.14405,0.11138,0.12292,0.0005
noproj,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w0_f023,0,0.0499,1,0.04256,0.16336,0.13084,0.12292,0.8029
dense,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w0_f023,0,0.0495,1,0.02249,0.04129,0.02567,0.12292,0.6115
sf3d_only,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w1_f093,0,0.0536,1,0.18223,0.28787,0.24988,0.30829,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w1_f093,0,0.0523,1,0.03225,0.19148,0.17739,0.30829,0.7484
dense,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w1_f093,0,0.0582,1,0.03885,0.14532,0.18313,0.30829,0.5380
sf3d_only,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w2_f169,0,0.0504,1,0.03528,0.11204,0.07683,0.06168,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w2_f169,0,0.0499,1,0.02143,0.14714,0.14130,0.06168,0.8198
dense,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w2_f169,0,0.0529,1,0.02033,0.04489,0.06516,0.06168,0.6298
sf3d_only,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w3_f212,0,0.0491,1,0.18975,0.21732,0.05809,0.04094,0.0000
noproj,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w3_f212,0,0.0516,1,0.02911,0.25461,0.23664,0.04094,0.7846
dense,hoi4d,ZY20210800003_H3_C1_N28/S90_s03_T2_w3_f212,0,0.0619,1,0.02247,0.04094,0.06283,0.04094,0.2205
sf3d_only,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w2_f178,1,0.0772,0,0.28072,0.32927,0.60917,0.13921,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w2_f178,1,0.9487,1,0.01321,0.14224,0.12984,0.13921,0.9159
dense,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w2_f178,1,0.9426,1,0.01128,0.02244,0.02982,0.13921,0.4438
sf3d_only,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w3_f214,1,0.0744,0,0.32260,0.71851,0.66167,0.15335,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w3_f214,1,0.9518,1,0.00631,0.22678,0.22319,0.15335,0.8960
dense,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w3_f214,1,0.9420,1,0.01404,0.04005,0.05229,0.15335,0.7395
sf3d_only,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w4_f236,1,0.0576,0,0.21324,0.22160,0.07260,0.29315,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w4_f236,1,0.9469,1,0.00981,0.53731,0.54710,0.29315,0.8686
dense,hoi4d,ZY20210800003_H3_C3_N24/S277_s05_T2_w4_f236,1,0.9428,1,0.01141,0.02717,0.01734,0.29315,0.4980
sf3d_only,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w2_f189,1,0.0671,0,0.18555,0.29778,0.46182,0.11765,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w2_f189,1,0.9425,1,0.01224,0.06754,0.06553,0.11765,0.9334
dense,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w2_f189,1,0.9416,1,0.00439,0.00289,0.00448,0.11765,0.8293
sf3d_only,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w3_f220,1,0.0636,0,0.20798,0.49254,0.62023,0.14159,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w3_f220,1,0.9458,1,0.00435,0.24485,0.24628,0.14159,0.8435
dense,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w3_f220,1,0.9348,1,0.01211,0.02533,0.03093,0.14159,0.6137
sf3d_only,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w4_f239,1,0.0547,0,0.44443,0.28105,0.17362,0.29691,0.0000
noproj,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w4_f239,1,0.9443,1,0.00784,0.59726,0.60494,0.29691,0.8077
dense,hoi4d,ZY20210800003_H3_C3_N26/S279_s01_T2_w4_f239,1,0.9405,1,0.01382,0.01244,0.02449,0.29691,0.5397
